degree,course
Information Engineering and Media,Information Technology
Information Engineering And Media and Economics **,Information Technology
Information Systems,Information Technology
Information Systems (Cum Laude and above),Information Technology
Information Systems Management,Information Technology
Information Systems Management (4-year programme),Information Technology
Information Systems Management (4-year programme) Cum Laude and above,Information Technology
Information Systems Management (4-years programme),Information Technology
Information Systems Management (4-years programme) Cum Laude and above,Information Technology
Information Systems Management Cum Laude and above,Information Technology
Law #,Law
Law (4-year programme) #,Law
Law (4-year programme) Cum Laude and above #,Law
Law (4-years programme) #,Law
Law (4-years programme) Cum Laude and above #,Law
Law (Cum Laude and above) #,Law
Law Cum Laude and above #,Law
Linguistics & Multilingual Studies,Humanities & Social Sciences
Linguistics and Multilingual Studies,Humanities & Social Sciences
Maritime Studies,Engineering Sciences
Materials Engineering,Engineering Sciences
Materials Engineering and Economics **,Engineering Sciences
Mathematical Science,"Natural, Physical & Mathematical Sciences"
Mathematical Sciences,"Natural, Physical & Mathematical Sciences"
Mathematics & Economics,"Natural, Physical & Mathematical Sciences"
Mathematics & Economics **,"Natural, Physical & Mathematical Sciences"
Mechanical Engineering,Engineering Sciences
Mechanical Engineering and Economics **,Engineering Sciences
Medicine ##,Medicine
Philosophy,Humanities & Social Sciences
Physics & Applied Physics,"Natural, Physical & Mathematical Sciences"
Physics / Applied Physics,"Natural, Physical & Mathematical Sciences"
Psychology,Humanities & Social Sciences
Public Policy and Global Affairs,Services
Public Policy And Global Affairs **,Services
Science (with Education),Education
Social Sciences,Humanities & Social Sciences
Social Sciences (4-year programme),Humanities & Social Sciences
Social Sciences (4-year programme) Cum Laude and above,Humanities & Social Sciences
Social Sciences (4-years programme),Humanities & Social Sciences
Social Sciences (4-years programme) Cum Laude and above,Humanities & Social Sciences
Social Sciences (Cum Laude and above),Humanities & Social Sciences
Social Sciences Cum Laude and above,Humanities & Social Sciences
Sociology,Humanities & Social Sciences
Sport Science and Management,Health Sciences
Sports Science and Management,Health Sciences
